id	name	era	year	tags	description
187	ノルマンディー上陸作戦	現代	1944	["戦争", "連合国"]	1944年6月に連合国軍が北フランスに上陸した大規模作戦。ヨーロッパ戦線の転換点となった。
188	ポツダム宣言	現代	1945	["終戦", "降伏"]	1945年7月に連合国が発した降伏勧告。無条件降伏と民主化を要求し、日本は8月に受諾した。
189	終戦	現代	1945	["終戦", "転換"]	1945年8月15日に玉音放送により終戦が国民に伝えられた出来事。310万人の犠牲者を出した戦争が終結した。
190	GHQ	現代	1945	["占領", "アメリカ"]	1945年に設置された連合国軍最高司令官総司令部。占領政策を指揮し、民主化と非軍事化を推進した。
191	原爆投下	現代	1945	["戦争", "核兵器", "日本関連"]	1945年8月に広島と長崎に投下された核兵器攻撃。20万人以上が犠牲となり、人類史上初の核兵器使用となった。
192	国際連合	現代	1945	["国際機関", "平和"]	1945年に設立された国際平和維持機構。安全保障理事会と総会を中心に、紛争予防と人権保護を目指した。
193	日本国憲法	現代	1947	["法律", "憲法"]	1947年に施行された新憲法。国民主権・基本的人権の尊重・平和主義を三大原則とした。
194	冷戦	現代	1947	["対立", "米ソ", "日本関連"]	1947年から1991年まで続いた米ソ対立。直接戦火を交えない緊張状態が世界を二分した。
195	サンフランシスコ平和条約	現代	1951	["条約", "独立"]	1951年に調印された第二次世界大戦の講和条約。日本の主権回復と占領終結を実現し、戦後の国際社会への復帰を果たした。
196	高度経済成長	現代	1955	["経済", "発展"]	1955年頃から始まった急速な経済発展。年平均10%超の成長率を記録し、先進国の仲間入りを果たした。
197	ベトナム戦争	現代	1955	["戦争", "冷戦", "アジア"]	1955年から1975年にかけて続いたインドシナ紛争。南北対立に米ソが介入し、長期化した泥沼の戦争となった。
198	ベルリンの壁	現代	1961	["分断", "冷戦"]	1961年に東ドイツが建設した分断の象徴。東西を隔てる壁により、市民の往来が遮断された。
199	キューバ危機	現代	1962	["危機", "核戦争"]	1962年にソ連のミサイル配備をめぐり米ソが対立した事件。核戦争寸前まで緊張が高まったが、外交交渉で回避された。
200	湾岸戦争	現代	1990	["戦争", "中東", "国際"]	1990年のイラクのクウェート侵攻に端を発した紛争。米国主導の多国籍軍が介入し、圧倒的な軍事力で短期間に解放した。
201	ソ連崩壊	現代	1991	["崩壊", "冷戦終結"]	1991年にソビエト連邦が解体された歴史的転換。70年以上続いた社会主義国家が消滅し、冷戦が終結した。
202	ユーゴスラビア紛争	現代	1991	["戦争", "民族", "ヨーロッパ"]	1991年から2001年にかけて旧ユーゴスラビアで発生した内戦。民族・宗教対立により多数の犠牲者を出した。
203	EU発足	現代	1993	["外交", "統合", "ヨーロッパ"]	1993年のマーストリヒト条約発効により欧州連合が正式に誕生。単一通貨ユーロの導入など、統合が深化した。
204	IT革命	現代	1995	["技術", "経済", "社会"]	1995年頃から加速した情報技術の革新。インターネットの普及により、社会・経済のあり方が劇的に変化した。
205	香港返還	現代	1997	["外交", "中国", "アジア"]	1997年にイギリスから中国へ主権が移譲された出来事。150年以上の植民地支配が終わり、一国二制度が開始された。
206	9.11同時多発テロ	現代	2001	["テロ", "アメリカ", "戦争"]	2001年9月11日にアメリカで発生した航空機を使用した同時多発攻撃。3000人近くが犠牲となり、対テロ戦争が始まった。
207	リーマンショック	現代	2008	["経済", "金融危機", "アメリカ"]	2008年の大手投資銀行の破綻に端を発した世界金融危機。信用収縮が連鎖し、各国経済が深刻な打撃を受けた。
208	アラブの春	現代	2010	["革命", "民主化", "中東"]	2010年末から中東・北アフリカで広がった民主化運動。チュニジアに始まり、SNSを通じて各国に波及した。
209	Brexit	現代	2016	["外交", "離脱", "ヨーロッパ"]	2016年の国民投票で決定したイギリスの欧州連合離脱。2020年に正式離脱し、欧州統合に転換点をもたらした。
210	COVID-19	現代	2019	["パンデミック", "医療", "国際"]	2019年末に中国で確認された新型コロナウイルス感染症。世界的パンデミックとなり、社会経済活動が大きく制限された。
